country,tag,reason,adopter,latest_tax_price,latest_ets_price,log_gdp_pc,impl_capacity_z
Mali,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.18,-1.12
Mauritania,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.04,-0.76
Mauritius,NEAR-SUPPORT,inside cloud but unobserved,False,0.0,0.0,9.88,0.94
Moldova,FAR,income below observed range; low-governance edge,False,0.0,0.0,9.03,-0.17
Mongolia,NEAR-SUPPORT,low-income edge,False,0.0,0.0,9.46,-0.03
Montenegro,NEAR-SUPPORT,inside cloud but unobserved,False,0.0,0.0,9.9,0.15
Morocco,FAR,income below observed range; low-governance edge,False,0.0,0.0,9.03,-0.26
Mozambique,FAR,income below observed range; governance below observed range,False,0.0,0.0,6.86,-0.87
Myanmar,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.58,-1.48
Namibia,FAR,income below observed range,False,0.0,0.0,8.92,0.38
Nepal,FAR,income below observed range; low-governance edge,False,0.0,0.0,8.03,-0.44
Nicaragua,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.47,-1.02
Niger,FAR,income below observed range; governance below observed range,False,0.0,0.0,6.81,-0.68
Nigeria,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.52,-1.05
North Korea,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.34,-1.67
North Macedonia,NEAR-SUPPORT,low-income edge,False,0.0,0.0,9.63,0.09
Oman,FAR,inside cloud but unobserved,False,0.0,0.0,10.54,0.07
Pakistan,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.58,-0.83
Palestine,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.4,-0.8
Panama,NEAR-SUPPORT,inside cloud but unobserved,False,0.0,0.0,9.89,0.13
Paraguay,FAR,income below observed range; low-governance edge,False,0.0,0.0,9.18,-0.37
Peru,FAR,low-income edge; low-governance edge,False,0.0,0.0,9.21,-0.2
Philippines,FAR,income below observed range; low-governance edge,False,0.0,0.0,9.03,-0.31
Qatar,FAR,income above observed range,False,0.0,0.0,11.78,0.69
Russia,FAR,governance below observed range,False,0.0,0.0,10.17,-0.69
Rwanda,FAR,income below observed range,False,0.0,0.0,7.6,0.12
Saint Lucia,FAR,income below observed range,False,0.0,0.0,9.05,0.63
Sao Tome and Principe,FAR,income below observed range; low-governance edge,False,0.0,0.0,8.22,-0.17
Saudi Arabia,FAR,inside cloud but unobserved,False,0.0,0.0,10.89,-0.05
Senegal,FAR,income below observed range,False,0.0,0.0,7.97,-0.03
Serbia,NEAR-SUPPORT,low-income edge,False,0.0,0.0,9.72,-0.05
Seychelles,NEAR-SUPPORT,inside cloud but unobserved,False,0.0,0.0,10.08,0.83
Sierra Leone,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.24,-0.58
Sri Lanka,NEAR-SUPPORT,low-income edge,False,0.0,0.0,9.42,-0.14
Syria,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.83,-2.03
Tajikistan,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.45,-1.12
Tanzania,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.01,-0.51
Thailand,NEAR-SUPPORT,low-income edge,False,0.0,0.0,9.63,-0.15
Togo,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.33,-0.65
Trinidad and Tobago,NEAR-SUPPORT,inside cloud but unobserved,False,0.0,0.0,10.11,0.17
Tunisia,FAR,low-income edge; low-governance edge,False,0.0,0.0,9.26,-0.17
Turkey,FAR,low-governance edge,False,0.0,0.0,10.17,-0.44
Turkmenistan,FAR,low-income edge; governance below observed range,False,0.0,0.0,9.51,-1.38
Uganda,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.66,-0.67
United Arab Emirates,FAR,inside cloud but unobserved,False,0.0,0.0,11.21,0.78
United States,NEAR-SUPPORT,inside cloud but unobserved,False,0.0,0.0,10.94,1.19
Uruguay,FAR,inside cloud but unobserved,False,0.0,0.0,9.87,1.18
Uzbekistan,FAR,low-income edge; governance below observed range,False,0.0,0.0,9.29,-0.68
Venezuela,FAR,income below observed range; governance below observed range,False,0.0,0.0,8.5,-1.92
Vietnam,FAR,income below observed range; low-governance edge,False,0.0,0.0,8.96,-0.27
Yemen,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.39,-2.08
Zambia,FAR,income below observed range; low-governance edge,False,0.0,0.0,8.12,-0.48
Zimbabwe,FAR,income below observed range; governance below observed range,False,0.0,0.0,7.37,-1.23
