country,year,tax_price_only,ets_price_only,has_tax,has_ets,any_carbon_price_dummy,carbon_price_max,tax_type,tax_price
Japan,2021,2.424053,0.000000,1,0,1,2.424053,1,2.424053
Japan,2022,2.197716,0.000000,1,0,1,2.197716,1,2.197716
Japan,2023,2.011993,0.000000,1,0,1,2.011993,1,2.011993
Japan,2024,1.905076,0.000000,1,0,1,1.905076,1,1.905076
Japan,2025,1.929239,0.000000,1,0,1,1.929239,1,1.929239
Latvia,2014,3.930150,6.757100,1,1,1,6.757100,3,6.757100
Latvia,2015,3.764250,7.689825,1,1,1,7.689825,3,7.689825
Latvia,2016,4.001200,5.921776,1,1,1,5.921776,3,5.921776
Latvia,2017,4.810950,5.644848,1,1,1,5.644848,3,5.644848
Latvia,2018,5.544450,16.263720,1,1,1,16.263720,3,16.263720
Latvia,2019,5.056200,24.505716,1,1,1,24.505716,3,24.505716
Latvia,2020,9.842400,18.536520,1,1,1,18.536520,3,18.536520
Latvia,2021,14.095200,49.779548,1,1,1,49.779548,3,49.779548
Latvia,2022,16.578000,86.526108,1,1,1,86.526108,3,86.526108
Latvia,2023,16.312500,96.298125,1,1,1,96.298125,3,96.298125
Latvia,2024,16.123500,61.301547,1,1,1,61.301547,3,61.301547
Latvia,2025,16.182000,70.370124,1,1,1,70.370124,3,70.370124
Luxembourg,2021,40.124336,49.779548,1,1,1,49.779548,3,49.779548
Luxembourg,2022,43.345944,86.526108,1,1,1,86.526108,3,86.526108
Luxembourg,2023,45.000750,96.298125,1,1,1,96.298125,3,96.298125
Luxembourg,2024,49.907607,61.301547,1,1,1,61.301547,3,61.301547
Luxembourg,2025,58.546476,70.370124,1,1,1,70.370124,3,70.370124
Mexico,2015,3.115362,0.000000,1,0,1,3.115362,1,3.115362
Mexico,2016,2.777924,0.000000,1,0,1,2.777924,1,2.777924
Mexico,2017,2.645353,0.000000,1,0,1,2.645353,1,2.645353
Mexico,2018,2.902569,0.000000,1,0,1,2.902569,1,2.902569
Mexico,2019,2.888936,0.000000,1,0,1,2.888936,1,2.888936
Mexico,2020,2.334345,0.000000,1,0,1,2.334345,1,2.334345
Mexico,2021,2.890223,0.000000,1,0,1,2.890223,1,2.890223
Mexico,2022,3.196555,0.000000,1,0,1,3.196555,1,3.196555
Mexico,2023,3.789652,0.000000,1,0,1,3.789652,1,3.789652
Mexico,2024,4.305145,0.000000,1,0,1,4.305145,1,4.305145
Mexico,2025,3.942786,0.000000,1,0,1,3.942786,1,3.942786
Netherlands,2021,35.238000,49.779548,1,1,1,49.779548,3,49.779548
Netherlands,2022,46.142100,86.526108,1,1,1,86.526108,3,86.526108
Netherlands,2023,60.834750,96.298125,1,1,1,96.298125,3,96.298125
Netherlands,2024,71.480850,61.301547,1,1,1,71.480850,3,71.480850
Netherlands,2025,94.826520,70.370124,1,1,1,94.826520,3,94.826520
Norway,1994,99.308267,0.000000,1,0,1,99.308267,1,99.308267
Norway,1995,115.810756,0.000000,1,0,1,115.810756,1,115.810756
Norway,1996,112.632234,0.000000,1,0,1,112.632234,1,112.632234
Norway,1997,109.595271,0.000000,1,0,1,109.595271,1,109.595271
Norway,1998,94.701683,0.000000,1,0,1,94.701683,1,94.701683
Norway,1999,93.792962,0.000000,1,0,1,93.792962,1,93.792962
Norway,2000,85.390339,0.000000,1,0,1,85.390339,1,85.390339
Norway,2001,58.975062,0.000000,1,0,1,58.975062,1,58.975062
Norway,2002,61.075103,0.000000,1,0,1,61.075103,1,61.075103
Norway,2003,74.209463,0.000000,1,0,1,74.209463,1,74.209463
Norway,2004,79.235847,0.000000,1,0,1,79.235847,1,79.235847
Norway,2005,86.973023,0.000000,1,0,1,86.973023,1,86.973023
Norway,2006,82.795291,0.000000,1,0,1,82.795291,1,82.795291
Norway,2007,89.890589,0.000000,1,0,1,89.890589,1,89.890589
Norway,2008,104.956834,0.000000,1,0,1,104.956834,1,104.956834
Norway,2009,80.951742,0.000000,1,0,1,80.951742,1,80.951742
Norway,2010,90.596062,0.000000,1,0,1,90.596062,1,90.596062
Norway,2011,99.278959,0.000000,1,0,1,99.278959,1,99.278959
Norway,2012,96.604781,0.000000,1,0,1,96.604781,1,96.604781
Norway,2013,94.582532,0.000000,1,0,1,94.582532,1,94.582532
Norway,2014,92.525855,0.000000,1,0,1,92.525855,1,92.525855
Norway,2015,68.315986,0.000000,1,0,1,68.315986,1,68.315986
Norway,2016,65.878706,0.000000,1,0,1,65.878706,1,65.878706
Norway,2017,66.816703,0.000000,1,0,1,66.816703,1,66.816703
Norway,2018,79.976341,0.000000,1,0,1,79.976341,1,79.976341
Norway,2019,72.163025,0.000000,1,0,1,72.163025,1,72.163025
Norway,2020,63.276398,0.000000,1,0,1,63.276398,1,63.276398
Norway,2021,80.352849,0.000000,1,0,1,80.352849,1,80.352849
Norway,2022,96.305616,0.000000,1,0,1,96.305616,1,96.305616
Norway,2023,94.490895,0.000000,1,0,1,94.490895,1,94.490895
Norway,2024,107.783552,0.000000,1,0,1,107.783552,1,107.783552
Norway,2025,133.920487,0.000000,1,0,1,133.920487,1,133.920487
Poland,1994,0.044053,0.000000,1,0,1,0.044053,1,0.044053
Poland,1995,0.055319,0.000000,1,0,1,0.055319,1,0.055319
Poland,1996,0.058072,0.000000,1,0,1,0.058072,1,0.058072
Poland,1998,0.043466,0.000000,1,0,1,0.043466,1,0.043466
Poland,1999,0.041870,0.000000,1,0,1,0.041870,1,0.041870
Poland,2000,0.041870,0.000000,1,0,1,0.041870,1,0.041870
Poland,2001,0.036870,0.000000,1,0,1,0.036870,1,0.036870
Poland,2002,0.036678,0.000000,1,0,1,0.036678,1,0.036678
Poland,2003,0.051727,0.000000,1,0,1,0.051727,1,0.051727
Poland,2004,0.057075,0.000000,1,0,1,0.057075,1,0.057075
Poland,2005,0.068298,19.049730,1,1,1,19.049730,3,19.049730
Poland,2006,0.067866,32.353992,1,1,1,32.353992,3,32.353992
Poland,2007,0.079814,1.251892,1,1,1,1.251892,3,1.251892
Poland,2008,0.103070,34.483320,1,1,1,34.483320,3,34.483320
Poland,2009,0.075579,15.550804,1,1,1,15.550804,3,15.550804
Poland,2010,0.087948,17.265976,1,1,1,17.265976,3,17.265976
Poland,2011,0.091588,23.756880,1,1,1,23.756880,3,23.756880
Poland,2012,0.087125,9.322488,1,1,1,9.322488,3,9.322488
Poland,2013,0.085645,6.043960,1,1,1,6.043960,3,6.043960
Poland,2014,0.092318,6.757100,1,1,1,6.757100,3,6.757100
Poland,2015,0.077439,7.689825,1,1,1,7.689825,3,7.689825
Poland,2016,0.077972,5.921776,1,1,1,5.921776,3,5.921776
Poland,2017,0.073502,5.644848,1,1,1,5.644848,3,5.644848
Poland,2018,0.085405,16.263720,1,1,1,16.263720,3,16.263720
Poland,2019,0.078397,24.505716,1,1,1,24.505716,3,24.505716
Poland,2020,0.071941,18.536520,1,1,1,18.536520,3,18.536520
